Tiempo;Lux;;;;
23,05141168;466,47;;;;
23,09615738;461,93;;;;
23,14926217;466,47;;;;
23,19646643;466,47;;;;
23,24662095;461,93;;;;
23,29579205;466,47;;;;
23,34545486;461,93;;;;
23,3921674;461,93;;;;
23,44478048;475,47;;;;
23,48903447;466,47;;;;
23,54263097;466,47;;;;
23,58836009;466,47;;;;
23,63998975;466,47;;;;
23,68866914;466,47;;;;
23,73931537;466,47;;;;
23,7855362;466,47;;;;
23,83716586;466,47;;;;
23,88240327;466,47;;;;
23,93698319;466,47;;;;
23,97976205;466,47;;;;
24,0358171;466,47;;;;
24,07712083;466,47;;;;
24,13317588;461,93;;;;
24,18038014;466,47;;;;
24,22758439;466,47;;;;
24,27872234;466,47;;;;
24,32936857;466,47;;;;
24,3755894;466,47;;;;
24,4247605;466,47;;;;
24,47245647;466,47;;;;
24,52605297;466,47;;;;
24,57473236;461,93;;;;
24,62242833;466,47;;;;
24,67012429;466,47;;;;
24,72027881;466,47;;;;
24,7689582;466,47;;;;
24,82009615;466,47;;;;
24,86877554;466,47;;;;
24,91843835;466,47;;;;
24,96416747;481,88;;;;
25,01628884;543,79;;;;
25,06300138;582,29;;;;
25,11463104;631,34;;;;
25,16281871;665,81;;;;
25,21100639;660,05;;;;
25,2606692;627,9;;;;
25,31229886;622,36;;;;
25,35851969;622,36;;;;
25,41014935;622,36;;;;
25,45538676;622,36;;;;
25,50947497;622,36;;;;
25,55717094;622,36;;;;
25,60732546;622,36;;;;
25,654038;622,36;;;;
25,70517595;622,36;;;;
25,75385534;622,36;;;;
25,80351815;622,36;;;;
25,84875556;627,9;;;;
25,90284377;627,9;;;;
25,94955631;622,36;;;;
26,00020255;622,36;;;;
26,04789851;622,36;;;;
26,09756133;622,36;;;;
26,14427387;622,36;;;;
26,19442839;627,9;;;;
26,24359949;622,36;;;;
26,29424573;627,9;;;;
26,34390854;622,36;;;;
26,39406306;622,36;;;;
26,44126731;622,36;;;;
26,49240526;627,9;;;;
26,54010123;627,9;;;;
26,58976404;622,36;;;;
26,63795171;622,36;;;;
26,68810624;622,36;;;;
26,7358022;622,36;;;;
26,78644844;622,36;;;;
26,83512783;622,36;;;;
26,88528235;622,36;;;;
26,93002805;622,36;;;;
26,98411626;622,36;;;;
27,03181223;622,36;;;;
27,08049161;622,36;;;;
27,13064614;627,9;;;;
27,17735868;622,36;;;;
27,22898834;622,36;;;;
27,27865115;622,36;;;;
27,32487198;622,36;;;;
27,37748506;622,36;;;;
27,42173905;622,36;;;;
27,47631897;622,36;;;;
27,52352323;622,36;;;;
27,57318604;622,36;;;;
27,62284885;622,36;;;;
27,67201995;627,9;;;;
27,72266618;627,9;;;;
27,77036215;627,9;;;;
27,81658298;627,9;;;;
27,87165461;627,9;;;;
27,91541689;627,9;;;;
27,96802997;622,36;;;;
28,01621765;622,36;;;;
28,06440533;627,9;;;;
28,10915103;627,9;;;;
28,16225581;627,9;;;;
28,20946007;622,36;;;;
28,25961459;627,9;;;;
28,31075254;622,36;;;;
28,35992364;622,36;;;;
28,40614447;622,36;;;;
28,45875755;622,36;;;;
28,50645351;622,36;;;;
28,55709975;622,36;;;;
28,604304;627,9;;;;
28,65544195;627,9;;;;
28,70412134;627,9;;;;
28,75378415;627,9;;;;
28,79951327;627,9;;;;
28,85212635;622,36;;;;
28,89441349;622,36;;;;
28,95096026;627,9;;;;
28,99816451;627,9;;;;
29,04831904;622,36;;;;
29,09699843;622,36;;;;
29,14616953;648,83;;;;
29,19288207;721,71;;;;
29,24500344;759,36;;;;
29,29122427;715,63;;;;
29,34383735;747,04;;;;
29,38710792;780,65;;;;
29,44217955;726,37;;;;
29,48790867;724,03;;;;
29,54003004;717,94;;;;
29,58674258;726,37;;;;
29,6368971;724,03;;;;
29,68311794;724,03;;;;
29,73818957;726,37;;;;
29,78391869;726,37;;;;
29,83554835;738,45;;;;
29,87881892;726,37;;;;
29,93389055;738,45;;;;
29,97961967;724,03;;;;
30,03075761;726,37;;;;
30,079437;726,37;;;;
30,1286081;724,03;;;;
30,17876263;724,03;;;;
30,22793373;726,37;;;;
30,27366285;726,37;;;;
30,32775106;726,37;;;;
30,3700382;738,45;;;;
30,42510984;738,45;;;;
30,47329751;726,37;;;;
30,52296033;726,37;;;;
30,57213143;726,37;;;;
30,6203191;726,37;;;;
30,67047363;738,45;;;;
30,71964473;726,37;;;;
30,76734069;726,37;;;;
30,81897035;726,37;;;;
30,86420776;726,37;;;;
30,91632913;726,37;;;;
30,96746707;726,37;;;;
31,01467133;726,37;;;;
31,06433414;738,45;;;;
31,1120301;726,37;;;;
31,16267634;726,37;;;;
31,21135573;726,37;;;;
31,26003511;726,37;;;;
31,31018964;726,37;;;;
31,3534602;726,37;;;;
31,40951526;724,03;;;;
31,45229412;726,37;;;;
31,50687404;724,03;;;;
31,55211145;726,37;;;;
31,60226597;726,37;;;;
31,65389563;726,37;;;;
31,70306673;726,37;;;;
31,7512544;724,03;;;;
31,80140893;738,45;;;;
31,84664634;726,37;;;;
31,89975113;726,37;;;;
31,94892223;738,45;;;;
31,99760161;726,37;;;;
32,04529758;726,37;;;;
32,0954521;724,03;;;;
32,14511491;724,03;;;;
32,19477773;726,37;;;;
32,24149027;724,03;;;;
32,29066137;724,03;;;;
32,33786563;726,37;;;;
32,39195384;726,37;;;;
32,43915809;726,37;;;;
32,48931261;738,45;;;;
32,53700858;726,37;;;;
32,58765481;726,37;;;;
32,63485907;726,37;;;;
32,68698044;726,37;;;;
32,73320127;738,45;;;;
32,78433921;726,37;;;;
32,83056005;738,45;;;;
32,8821897;724,03;;;;
32,93037738;738,45;;;;
32,9805319;726,37;;;;
33,02822787;726,37;;;;
33,07789068;738,45;;;;
33,12706178;738,45;;;;
33,17770801;726,37;;;;
33,2263874;726,37;;;;
33,27605021;738,45;;;;
33,31981249;726,37;;;;
33,3739007;726,37;;;;
33,42258009;726,37;;;;
33,4722429;726,37;;;;
33,51944716;738,45;;;;
33,57009339;738,45;;;;
33,61778936;738,45;;;;
33,6689273;726,37;;;;
33,71613156;738,45;;;;
33,76677779;738,45;;;;
33,81250692;726,37;;;;
33,8656117;726,37;;;;
33,91527451;726,37;;;;
33,96346219;738,45;;;;
34,01066645;738,45;;;;
34,06032926;738,45;;;;
34,11048378;726,37;;;;
34,15965488;738,45;;;;
34,20833427;726,37;;;;
34,25750537;738,45;;;;
34,30421792;738,45;;;;
34,35584757;726,37;;;;
34,40256012;738,45;;;;
34,45369806;738,45;;;;
34,50237745;738,45;;;;
34,55105684;738,45;;;;
34,60121136;738,45;;;;
34,65136588;738,45;;;;
34,69906185;783,1;;;;
34,74970808;826,96;;;;
