time,lux
408.141,1057.34
408.245,1057.34
408.349,1057.34
408.441,1057.34
408.548,1057.34
408.633,1057.34
408.751,1057.34
408.847,1057.34
408.946,1057.34
409.045,1057.34
409.146,1057.34
409.239,1057.34
409.349,1057.34
409.435,1057.34
409.549,1057.34
409.633,1057.34
409.749,1057.34
409.848,1057.34
409.947,1057.34
410.041,1057.34
410.139,1057.34
410.245,1057.34
410.345,1057.34
410.433,1083.87
410.550,1146.52
410.632,1174.51
410.748,1194.40
410.840,1202.96
410.946,1191.15
411.043,1174.51
411.142,1174.51
411.247,1174.51
411.344,1174.51
411.442,1174.51
411.547,1174.51
411.634,1174.51
411.750,1174.51
411.845,1174.51
411.947,1174.51
412.045,1174.51
412.142,1174.51
412.243,1174.51
412.345,1174.51
412.441,1174.51
412.547,1174.51
412.636,1174.51
412.746,1174.51
412.843,1174.51
412.945,1174.51
413.043,1174.51
413.134,1174.51
413.246,1174.51
413.345,1174.51
413.437,1174.51
413.547,1174.51
413.633,1174.51
413.751,1174.51
413.842,1174.51
413.944,1174.51
414.043,1174.51
414.136,1174.51
414.246,1174.51
414.345,1174.51
414.440,1174.51
414.547,1174.51
414.632,1174.51
414.749,1174.51
414.842,1174.51
414.944,1174.51
415.042,1174.51
415.142,1174.51
415.242,1174.51
415.346,1249.03
415.440,1249.03
415.546,1287.61
415.636,1317.84
415.746,1317.84
415.841,1348.54
415.943,1348.54
416.043,1348.54
416.139,1348.54
416.242,1348.54
416.346,1348.54
416.441,1348.54
416.546,1348.54
416.635,1348.54
416.746,1348.54
416.843,1348.54
416.946,1348.54
417.041,1348.54
417.143,1348.54
417.240,1348.54
417.345,1348.54
417.440,1348.54
417.545,1348.54
417.630,1348.54
417.748,1348.54
417.846,1348.54
417.945,1348.54
418.042,1348.54
418.140,1348.54
418.242,1348.54
418.345,1348.54
418.442,1348.54
418.545,1348.54
418.634,1348.54
418.746,1348.54
418.843,1348.54
418.945,1348.54
419.040,1348.54
419.141,1348.54
419.242,1348.54
419.345,1348.54
419.439,1348.54
419.544,1348.54
419.627,1348.54
419.748,1348.54
419.844,1348.54
419.942,1348.54
420.041,1348.54
420.140,1389.13
420.241,1443.50
420.343,1476.12
420.439,1485.96
420.544,1485.96
420.631,1505.42
420.745,1505.42
420.839,1505.42
420.944,1505.42
421.044,1505.42
421.139,1505.42
421.234,1505.42
421.345,1505.42
421.442,1505.42
421.544,1505.42
421.631,1505.42
421.744,1505.42
421.845,1505.42
421.942,1505.42
422.040,1505.42
422.144,1505.42
422.231,1505.42
422.347,1505.42
422.439,1505.42
422.544,1505.42
422.632,1505.42
422.745,1505.42
422.846,1505.42
422.943,1505.42
423.037,1505.42
423.141,1505.42
423.245,1505.42
423.342,1505.42
423.440,1505.42
423.544,1505.42
423.631,1505.42
423.747,1505.42
423.841,1505.42
423.943,1505.42
424.038,1505.42
424.141,1505.42
424.239,1505.42
424.343,1505.42
424.440,1505.42
424.543,1505.42
424.633,1505.42
424.745,1505.42
424.842,1505.42
424.944,1505.42
425.032,1505.42
425.142,1505.42
425.241,1505.42
425.342,1505.42
425.442,1505.42
425.542,1505.42
425.629,1552.96
425.745,1583.27
425.839,1583.27
425.942,1617.95
426.040,1617.95
426.136,1628.41
426.239,1628.41
426.344,1617.95
426.438,1617.95
426.544,1617.95
426.628,1617.95
426.744,1617.95
426.840,1617.95
426.942,1617.95
427.038,1617.95
427.136,1617.95
427.243,1617.95
427.341,1617.95
427.440,1617.95
427.544,1617.95
427.629,1617.95
427.745,1617.95
427.837,1617.95
427.943,1617.95
428.042,1617.95
428.134,1617.95
428.239,1617.95
428.341,1617.95
428.439,1617.95
428.542,1617.95
428.628,1617.95
428.746,1617.95
428.834,1617.95
428.942,1617.95
429.042,1617.95
429.139,1617.95
429.237,1617.95
429.342,1617.95
429.439,1617.95
429.542,1617.95
429.628,1617.95
429.745,1617.95
429.841,1617.95
429.942,1617.95
430.041,1617.95
430.135,1617.95
