time;lux
69,194;1143,78
69,297;1143,78
69,398;1143,78
69,491;1143,78
69,6;1143,78
69,683;1143,78
69,803;1143,78
69,896;1143,78
69,998;1143,78
70,098;1143,78
70,197;1143,78
70,297;1143,78
70,396;1143,78
70,497;1143,78
70,597;1143,78
70,699;1168,51
70,796;1168,51
70,898;1168,51
70,997;1168,51
71,097;1168,51
71,197;1168,51
71,299;1168,51
71,397;1168,51
71,497;1168,51
71,597;1168,51
71,698;1168,51
71,797;1168,51
71,898;1168,51
71,996;1168,51
72,099;1168,51
72,197;1168,51
72,299;1168,51
72,397;1168,51
72,498;1168,51
72,597;1176,94
72,696;1176,94
72,797;1168,51
72,896;1176,94
72,994;1176,94
73,099;1176,94
73,196;1176,94
73,297;1176,94
73,397;1193,61
73,495;1193,61
73,596;1193,61
73,698;1193,61
73,796;1193,61
73,897;1193,61
73,996;1193,61
74,098;1193,61
74,197;1176,94
74,295;1173,72
74,396;1173,72
74,497;1173,72
74,596;1173,72
74,693;1173,72
74,795;1173,72
74,897;1173,72
74,998;1173,72
75,097;1173,72
75,197;1173,72
75,297;1173,72
75,397;1173,72
75,496;1173,72
75,596;1173,72
75,698;1173,72
75,795;1173,72
75,897;1173,72
75,996;1173,72
76,097;1173,72
76,196;1173,72
76,298;1173,72
76,396;1173,72
76,495;1173,72
76,596;1173,72
76,698;1173,72
76,795;1173,72
76,895;1173,72
76,996;1173,72
77,096;1173,72
77,195;1173,72
77,297;1170,51
77,395;1170,51
77,496;1170,51
77,595;1170,51
77,696;1173,72
77,794;1170,51
77,896;1154,06
77,994;1154,06
78,095;1154,06
78,195;1154,06
78,295;1154,06
78,395;1154,06
78,496;1145,75
78,594;1145,75
78,698;1145,75
78,795;1145,75
78,896;1145,75
78,994;1145,75
79,096;1145,75
79,195;1145,75
79,296;1145,75
79,396;1145,75
79,49;1145,75
79,593;1145,75
79,695;1148,91
79,795;1148,91
79,896;1148,91
79,993;1148,91
80,095;1148,91
80,194;1148,91
80,298;1148,91
80,395;1148,91
80,496;1148,91
80,595;1145,75
80,694;1145,75
80,796;1148,91
80,895;1129,53
80,994;1121,33
81,096;1121,33
81,195;1121,33
81,295;1124,45
81,39;1121,33
81,494;1121,33
81,595;1121,33
81,695;1121,33
81,795;1121,33
81,896;1121,33
81,993;1121,33
82,095;1121,33
82,194;1121,33
82,295;1121,33
